value,count,share
Change weight measurement values,1135,0.010543525717842247
Convert temperature readings now,1130,0.01049707846798391
Convert length units simply,1128,0.010478499568040577
Scale area measurements easily,1124,0.010441341768153908
Scale volume measurements easily,1113,0.01033915781846557
Calculate simple weight differences,1063,0.00987468531988221
Change volume units simply,1051,0.009763211920222203
Convert time units accurately,994,0.009233713271837175
Adjust distance units correctly,973,0.009038634822432164
Split a sentence into parts,923,0.008574162323848805
Compare two length measurements,881,0.008184005425038783
Check if two values match,843,0.007831006326115431
Sort based on a simple rule,784,0.0072829287777870675
Determine if a value is larger,762,0.007078560878410389
Create a reversed sentence,745,0.006920640228892047
Capitalize the first letter only,740,0.006874192979033711
Decide if a condition is true,740,0.006874192979033711
Reverse a given word,733,0.006809166829232041
Compare two temperature values,732,0.006799877379260374
Find the length of a phrase,731,0.006790587929288707
Scale time differences simply,726,0.0067441406794303705
Calculate the area of a square,720,0.006688403979600368
Check if two values differ,704,0.006539772780053693
Compare two different values,700,0.006502614980167024
Compare two volume measurements,693,0.006437588830365354
Test if a value is greater,690,0.006409720480450353
Remove spaces from text,688,0.006391141580507018
Decide if a value is zero,675,0.006270378730875345
Find the first letter easily,661,0.006140326431272004
Check if a value is negative,603,0.005601538332915308
