topic_id,instruction_id,topic,instruction
0,0,Check if two values match,"Implement a robust and type-annotated Python function to check if two values match exactly, handling both equality operators and identity checks for best practice."
0,1,Check if two values match,Write an optimized Python script that compares two input arguments using the `==` operator while ensuring proper error handling for non-comparable types.
0,2,Check if two values match,"Create a high-performance Python utility function to verify if two values are identical, adhering strictly to PEP 8 coding standards and including comprehensive docstrings."
0,3,Check if two values match,Develop a production-ready Python module containing a class method that checks value equality with support for custom comparison logic and edge cases.
0,4,Check if two values match,Generate efficient Python code to determine if two variables hold the same data structure or primitive type using appropriate identity operators where applicable.
0,5,Check if two values match,"Write a clean and maintainable Python function that evaluates equality between two inputs, ensuring it handles None values correctly according to best practices."
0,6,Check if two values match,"Implement a scalable Python solution for checking value matches using the `is` operator alongside `==`, optimized for performance in large-scale data processing tasks."
0,7,Check if two values match,Construct a professional-grade Python script to compare two values with detailed logging capabilities and return type hints for static analysis tools.
0,8,Check if two values match,Produce an advanced Python function that performs deep equality checks on complex nested structures while maintaining code readability and efficiency.
0,9,Check if two values match,"Write a secure and optimized Python utility to validate if two provided values match exactly, incorporating input validation and following industry standards for security coding."
0,10,Check if two values match,Implement a robust and type-annotated Python function named 'values_match' that accepts any comparable objects as arguments and returns True if they are equal using the identity operator for immutable types or value comparison otherwise.
0,11,Check if two values match,"Write an optimized Python script with a main entry point that defines two variables of different data types (e.g., int and float) to demonstrate how '==' handles type coercion while ensuring the code is efficient for large-scale comparisons."
0,12,Check if two values match,"Create a high-performance Python utility function using NumPy that checks if two arrays contain identical elements without creating unnecessary copies, adhering to best practices for numerical computing efficiency."
0,13,Check if two values match,Develop a production-ready Python module containing a class 'ValueMatcher' with an instance method '__eq__' that implements custom comparison logic while maintaining strict adherence to PEP 8 and handling edge cases like None values gracefully.
0,14,Check if two values match,Generate concise and readable Python code for a function 'are_equal' that uses the built-in equality operator but includes comprehensive docstrings explaining its behavior with unhashable types to ensure maximum compatibility.
